OrderId [number],Type [string],Chips [bool],Drink [bool],Value [€], Timestamp [s]
1113 , meat , 1 , 1 , 12.500000 , 40791.971403
1113 , meat , 1 , 1 , 12.500000 , 40791.971403
1113 , chicken , 1 , 1 , 11.500000 , 40791.971403
1113 , chicken , 0 , 1 , 8.500000 , 40791.971403
1113 , veggy , 0 , 1 , 7.500000 , 40791.971403
1114 , veggy , 1 , 1 , 10.500000 , 40946.429242
1115 , veggy , 1 , 0 , 8.000000 , 41049.206523
1115 , meat , 1 , 1 , 12.500000 , 41049.206523
1115 , chicken , 1 , 1 , 11.500000 , 41049.206523
1115 , meat , 0 , 0 , 7.000000 , 41049.206523
1116 , meat , 1 , 0 , 10.000000 , 41435.387985
1116 , veggy , 0 , 1 , 7.500000 , 41435.387985
1116 , veggy , 1 , 1 , 10.500000 , 41435.387985
1117 , veggy , 1 , 0 , 8.000000 , 41681.870231
1117 , veggy , 1 , 1 , 10.500000 , 41681.870231
1117 , chicken , 0 , 1 , 8.500000 , 41681.870231
1118 , meat , 1 , 1 , 12.500000 , 41728.519222
1120 , chicken , 1 , 1 , 11.500000 , 41834.454781
1121 , meat , 1 , 1 , 12.500000 , 41862.592399
1119 , meat , 1 , 1 , 12.500000 , 41870.907273
1119 , chicken , 1 , 1 , 11.500000 , 41870.907273
1119 , chicken , 0 , 1 , 8.500000 , 41870.907273
1122 , meat , 1 , 1 , 12.500000 , 41974.569034
1123 , veggy , 1 , 1 , 10.500000 , 42233.426290
1123 , chicken , 1 , 1 , 11.500000 , 42233.426290
1123 , chicken , 1 , 1 , 11.500000 , 42233.426290
1123 , chicken , 0 , 1 , 8.500000 , 42233.426290
1124 , veggy , 1 , 1 , 10.500000 , 42391.148834
1124 , chicken , 1 , 1 , 11.500000 , 42391.148834
1124 , veggy , 1 , 1 , 10.500000 , 42391.148834
1125 , meat , 1 , 1 , 12.500000 , 42451.319818
1125 , chicken , 0 , 1 , 8.500000 , 42451.319818
1126 , meat , 1 , 1 , 12.500000 , 42601.241849
1126 , veggy , 0 , 1 , 7.500000 , 42601.241849
1128 , veggy , 1 , 1 , 10.500000 , 43013.188135
1127 , veggy , 0 , 1 , 7.500000 , 43041.850758
1127 , chicken , 1 , 1 , 11.500000 , 43041.850758
1127 , chicken , 0 , 0 , 6.000000 , 43041.850758
1129 , chicken , 0 , 1 , 8.500000 , 43393.803230
1130 , chicken , 1 , 1 , 11.500000 , 43712.697681
1130 , chicken , 1 , 1 , 11.500000 , 43712.697681
1130 , meat , 1 , 1 , 12.500000 , 43712.697681
1130 , meat , 1 , 0 , 10.000000 , 43712.697681
1131 , meat , 1 , 1 , 12.500000 , 43757.613762
1132 , veggy , 1 , 1 , 10.500000 , 43877.374957
1133 , chicken , 1 , 1 , 11.500000 , 43987.285498
1134 , chicken , 1 , 1 , 11.500000 , 44216.951916
1134 , chicken , 1 , 1 , 11.500000 , 44216.951916
1134 , chicken , 1 , 1 , 11.500000 , 44216.951916
1134 , veggy , 1 , 1 , 10.500000 , 44216.951916
1134 , veggy , 1 , 1 , 10.500000 , 44216.951916
1135 , meat , 1 , 0 , 10.000000 , 44324.841603
1135 , chicken , 0 , 1 , 8.500000 , 44324.841603
1135 , veggy , 0 , 0 , 5.000000 , 44324.841603
1135 , meat , 1 , 1 , 12.500000 , 44324.841603
1136 , chicken , 0 , 1 , 8.500000 , 44506.708894
1136 , chicken , 1 , 1 , 11.500000 , 44506.708894
1136 , chicken , 1 , 1 , 11.500000 , 44506.708894
1136 , chicken , 1 , 1 , 11.500000 , 44506.708894
1137 , chicken , 1 , 0 , 9.000000 , 44545.675804
1138 , meat , 0 , 1 , 9.500000 , 44638.313261
1138 , chicken , 1 , 0 , 9.000000 , 44638.313261
1139 , chicken , 1 , 1 , 11.500000 , 44683.173252
1140 , veggy , 1 , 1 , 10.500000 , 44745.699774
1140 , veggy , 1 , 1 , 10.500000 , 44745.699774
1140 , meat , 1 , 1 , 12.500000 , 44745.699774
1140 , meat , 1 , 1 , 12.500000 , 44745.699774
1141 , chicken , 1 , 0 , 9.000000 , 44810.471911
1142 , veggy , 1 , 1 , 10.500000 , 44948.816452
1142 , meat , 0 , 1 , 9.500000 , 44948.816452
1142 , meat , 1 , 1 , 12.500000 , 44948.816452
1142 , meat , 1 , 1 , 12.500000 , 44948.816452
1142 , chicken , 1 , 1 , 11.500000 , 44948.816452
1144 , chicken , 1 , 1 , 11.500000 , 44993.818099
